Date,Value
1/1/1880,-0.06
1/2/1880,-0.15
1/3/1880,-0.1
1/4/1880,-0.05
1/5/1880,-0.1
1/6/1880,-0.13
1/7/1880,-0.13
1/8/1880,-0.07
1/9/1880,-0.11
1/10/1880,-0.24
1/11/1880,-0.24
1/12/1880,-0.11
1/1/1881,-0.09
1/2/1881,-0.06
1/3/1881,0.05
1/4/1881,0.06
1/5/1881,0.02
1/6/1881,-0.12
1/7/1881,-0.06
1/8/1881,-0.06
1/9/1881,-0.17
1/10/1881,-0.3
1/11/1881,-0.27
1/12/1881,-0.04
1/1/1882,0.09
1/2/1882,0.02
1/3/1882,-0.01
1/4/1882,-0.15
1/5/1882,-0.14
1/6/1882,-0.14
1/7/1882,-0.12
1/8/1882,-0.08
1/9/1882,-0.1
1/10/1882,-0.24
1/11/1882,-0.15
1/12/1882,-0.16
1/1/1883,-0.28
1/2/1883,-0.35
1/3/1883,-0.18
1/4/1883,-0.2
1/5/1883,-0.16
1/6/1883,0
1/7/1883,-0.11
1/8/1883,-0.11
1/9/1883,-0.18
1/10/1883,-0.22
1/11/1883,-0.24
1/12/1883,-0.14
1/1/1884,-0.23
1/2/1884,-0.18
1/3/1884,-0.29
1/4/1884,-0.28
1/5/1884,-0.22
1/6/1884,-0.26
1/7/1884,-0.32
1/8/1884,-0.29
1/9/1884,-0.28
1/10/1884,-0.27
1/11/1884,-0.35
1/12/1884,-0.24
1/1/1885,-0.45
1/2/1885,-0.3
1/3/1885,-0.25
1/4/1885,-0.29
1/5/1885,-0.31
1/6/1885,-0.31
1/7/1885,-0.26
1/8/1885,-0.29
1/9/1885,-0.27
1/10/1885,-0.2
1/11/1885,-0.14
1/12/1885,0.01
1/1/1886,-0.18
1/2/1886,-0.32
1/3/1886,-0.29
1/4/1886,-0.19
1/5/1886,-0.19
1/6/1886,-0.25
1/7/1886,-0.2
1/8/1886,-0.27
1/9/1886,-0.27
1/10/1886,-0.32
1/11/1886,-0.29
1/12/1886,-0.17
1/1/1887,-0.52
1/2/1887,-0.47
1/3/1887,-0.22
1/4/1887,-0.26
1/5/1887,-0.26
1/6/1887,-0.25
1/7/1887,-0.25
1/8/1887,-0.33
1/9/1887,-0.23
1/10/1887,-0.33
1/11/1887,-0.19
1/12/1887,-0.17
1/1/1888,-0.33
1/2/1888,-0.28
1/3/1888,-0.29
1/4/1888,-0.12
1/5/1888,-0.16
1/6/1888,-0.12
1/7/1888,-0.12
1/8/1888,-0.18
1/9/1888,-0.1
1/10/1888,0.03
1/11/1888,-0.04
1/12/1888,0.07
1/1/1889,-0.03
1/2/1889,0.03
1/3/1889,0.13
1/4/1889,0.08
1/5/1889,-0.03
1/6/1889,-0.08
1/7/1889,-0.12
1/8/1889,-0.15
1/9/1889,-0.24
1/10/1889,-0.26
1/11/1889,-0.29
1/12/1889,-0.15
1/1/1890,-0.33
1/2/1890,-0.35
